scenario,K,optimizer,coverage_pct,gamma_mean,d_mean_m,solar_mean,scalar_score4,idxs_str,weights
FLAT,30,Greedy,32.21564760026298,1.0,5734.368763397901,1.0,0.7118620522430696,"38,783,756,27,0,780,672,111,84,698,731,52,31,749,589,194,169,586,735,48,34,745,306,421,740,43,446,281,648,135","(0.25, 0.25, 0.25, 0.25)"
FLAT,30,Simple-NSGA,33.85930309007232,1.0,4804.294350529119,1.0,0.69467153182965,"625,4,451,743,704,75,729,735,400,564,166,312,472,749,100,152,574,254,107,754,665,642,206,275,621,268,57,41,25,766","(0.25, 0.25, 0.25, 0.25)"
FLAT,30,Seeded-NSGA,30.506245890861276,1.0,5789.201042797018,1.0,0.7088442634744736,"38,783,756,27,0,780,672,111,84,698,729,52,31,749,589,194,169,586,733,48,34,744,306,421,740,42,446,281,671,135","(0.25, 0.25, 0.25, 0.25)"
DEM,30,Random,26.183431952662723,0.8346231766666666,4087.3741165850333,0.7080092120385352,0.5447217416075554,"425,78,371,622,448,160,690,82,649,615,520,189,95,515,209,503,241,392,205,481,312,126,271,708,484,164,669,15,275,369","(0.25, 0.25, 0.25, 0.25)"
DEM,30,Greedy,32.44575936883629,0.9859471366666667,5029.505256345095,0.9084071277459252,0.6698837996395112,"302,729,24,724,4,641,645,51,34,721,135,732,19,699,116,306,477,193,688,563,160,552,201,558,253,549,185,735,141,298","(0.25, 0.25, 0.25, 0.25)"
DEM,30,Simple-NSGA,31.57462195923734,0.9449415888888889,4616.743347266956,0.8215454686903404,0.6262864828285912,"93,261,81,442,24,210,135,252,447,185,729,699,465,279,87,551,732,735,200,738,563,5,427,688,322,545,301,41,420,720","(0.25, 0.25, 0.25, 0.25)"
DEM,30,Seeded-NSGA,32.44575936883629,0.9859471366666667,5029.505256345095,0.9084071277459252,0.6698837996395112,"302,729,24,724,4,641,645,51,34,721,135,732,19,699,116,306,477,193,688,563,160,552,201,558,253,549,185,735,141,298","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,30,Random,16.962524654832347,0.5125476379586785,4435.388796955804,0.7840771818369782,0.46813747468855493,"363,621,658,562,18,734,35,635,282,510,170,337,702,591,251,420,695,182,382,236,200,224,256,639,38,303,746,472,153,629","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,30,Greedy,21.005917159763314,0.6449713648071599,5248.154007580317,0.9676371381104929,0.5758550346743931,"160,673,726,3,24,558,142,688,222,5,782,729,106,116,19,721,549,703,22,210,699,477,163,314,640,84,244,617,110,554","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,30,Simple-NSGA,19.92110453648915,0.6161665003052004,4934.742019894756,0.8564796982633902,0.5309749706715986,"585,20,18,642,84,226,764,574,745,754,725,161,425,363,3,673,116,52,690,28,618,255,600,50,375,384,132,210,10,549","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,30,Seeded-NSGA,21.005917159763314,0.6449713648071599,5248.154007580317,0.9676371381104929,0.5758550346743931,"160,673,726,3,24,558,142,688,222,5,782,729,106,116,19,721,549,703,22,210,699,477,163,314,640,84,244,617,110,554","(0.25, 0.25, 0.25, 0.25)"
FLAT,40,Random,38.23142669296515,1.0,3944.70241471521,1.0,0.685916302801181,"82,636,481,474,228,466,292,204,337,779,330,554,596,184,476,623,351,547,316,756,655,342,214,327,107,6,136,301,684,121,503,700,496,221,540,489,571,400,426,626","(0.25, 0.25, 0.25, 0.25)"
FLAT,40,Greedy,43.86916502301118,1.0,5393.429672831555,1.0,0.7331879905193455,"38,783,756,27,0,780,672,111,84,698,731,52,31,749,589,194,169,586,735,48,34,745,306,421,740,43,446,281,648,135,667,116,505,663,120,131,652,499,247,228","(0.25, 0.25, 0.25, 0.25)"
FLAT,40,Simple-NSGA,44.543063773833005,1.0,4532.0093039953,1.0,0.7151453263668894,"22,30,127,399,182,45,186,246,643,739,55,408,228,452,10,753,533,306,393,497,492,122,685,545,117,645,207,705,637,358,6,225,596,775,315,266,681,757,137,502","(0.25, 0.25, 0.25, 0.25)"
FLAT,40,Seeded-NSGA,48.504273504273506,1.0,4279.135173396848,1.0,0.7192572734286056,"38,45,49,113,120,131,138,172,190,234,241,249,284,302,337,344,355,362,480,487,492,498,557,592,610,645,652,663,670,738,745,749,34,124,376,539,599,603,734,225","(0.25, 0.25, 0.25, 0.25)"
DEM,40,Random,34.97698882314267,0.856464178611111,4278.217238419744,0.6563848062968607,0.5636302862991783,"228,134,561,207,221,693,711,502,51,418,735,695,652,579,531,536,375,412,575,525,243,778,28,765,706,423,341,713,371,769,63,487,218,346,54,42,155,349,290,199","(0.25, 0.25, 0.25, 0.25)"
DEM,40,Greedy,43.376068376068375,0.9839157008333335,4772.81857031349,0.9043869454646873,0.6898182789300729,"302,729,24,724,4,641,645,51,34,721,135,732,19,699,116,306,477,193,688,563,160,552,201,558,253,549,185,735,141,298,649,82,653,239,467,261,665,71,446,314","(0.25, 0.25, 0.25, 0.25)"
DEM,40,Simple-NSGA,38.724523339907954,0.9144031844444445,4741.246826790644,0.8260830233431434,0.640512281364712,"724,111,729,193,648,749,21,703,224,654,200,159,465,336,404,781,15,699,41,357,572,24,322,239,218,363,589,552,720,27,769,181,546,639,530,535,4,763,398,232","(0.25, 0.25, 0.25, 0.25)"
DEM,40,Seeded-NSGA,44.36226166995398,0.9763353413888888,4795.761571863408,0.8936671227800836,0.6882341349279354,"302,756,24,4,699,645,19,723,107,731,641,141,193,253,306,688,160,477,552,116,82,735,558,239,563,665,201,549,71,649,298,653,261,467,93,446,365,34,712,185","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,40,Random,21.975673898750824,0.49081585955317897,4058.021373068778,0.7378501759624833,0.455038550206857,"717,442,582,293,534,145,255,691,437,176,585,660,454,169,282,360,401,56,758,364,339,693,497,34,205,617,330,573,491,98,475,269,198,105,515,500,14,370,428,446","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,40,Greedy,28.139381985535834,0.6402877731990454,5057.996013487549,0.9608902727006037,0.5864762691484335,"160,673,726,3,24,558,142,688,222,5,782,729,106,116,19,721,549,703,22,210,699,477,163,314,640,84,244,617,110,554,373,745,224,55,445,536,185,771,357,255","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,40,Simple-NSGA,26.01906640368179,0.6012776229516744,4745.140015104769,0.8657275092549618,0.5404675281391748,"771,431,115,549,659,761,363,481,77,244,11,448,739,575,20,252,467,174,555,212,287,678,4,166,725,193,264,782,82,729,302,559,297,700,451,45,222,107,86,744","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,40,Seeded-NSGA,28.139381985535834,0.6402877731990454,5057.996013487549,0.9608902727006037,0.5864762691484335,"160,673,726,3,24,558,142,688,222,5,782,729,106,116,19,721,549,703,22,210,699,477,163,314,640,84,244,617,110,554,373,745,224,55,445,536,185,771,357,255","(0.25, 0.25, 0.25, 0.25)"
FLAT,50,Random,46.170282708744246,1.0,4098.935906279491,1.0,0.7092955481781373,"650,766,165,462,338,554,654,310,176,178,507,162,116,152,211,81,166,6,572,247,431,530,52,172,342,659,213,328,474,184,57,200,217,682,743,404,263,747,411,126,713,2,597,259,265,740,730,412,424,41","(0.25, 0.25, 0.25, 0.25)"
FLAT,50,Greedy,55.67061143984221,1.0,5054.027852022269,1.0,0.7549189563368707,"38,783,756,27,0,780,672,111,84,698,731,52,31,749,589,194,169,586,735,48,34,745,306,421,740,43,446,281,648,135,667,116,505,663,120,131,652,499,247,228,659,124,565,359,340,582,453,184,599,243","(0.25, 0.25, 0.25, 0.25)"
