scenario,K,optimizer,coverage_pct,gamma_mean,d_mean_m,solar_mean,scalar_score4,idxs_str,weights
FLAT,30,Greedy,72.91255752794214,1.0,3222.7554768704917,1.0,0.79296795406058,"68,783,756,27,0,750,646,50,114,641,735,165,34,744,478,305,254,501,159,595,635,175,656,45,369,412,209,516,298,375","(0.25, 0.25, 0.25, 0.25)"
FLAT,30,Simple-NSGA,70.87442472057856,1.0,2985.9444704547855,1.0,0.7797392728273704,"326,287,170,479,444,109,766,728,554,630,753,310,10,569,401,275,33,56,264,518,15,465,148,612,184,103,635,761,744,648","(0.25, 0.25, 0.25, 0.25)"
FLAT,30,Seeded-NSGA,75.83826429980276,1.0,2954.253575664955,1.0,0.7910604379304148,"68,783,756,53,30,722,618,193,170,613,707,75,715,310,333,478,91,473,607,215,568,232,467,399,294,546,355,432,181,656","(0.25, 0.25, 0.25, 0.25)"
DEM,30,Random,38.8560157790927,0.6748087648148149,2976.119829014811,0.6285133810927145,0.5251863565204625,"783,390,561,329,426,60,698,161,162,123,772,219,445,460,86,171,226,693,153,505,112,383,365,336,747,592,416,533,327,546","(0.25, 0.25, 0.25, 0.25)"
DEM,30,Greedy,70.16765285996055,0.9753966399999999,2929.9615093180655,0.9414899157650088,0.7552712295394198,"76,703,725,144,81,715,562,42,554,93,137,737,396,260,573,30,248,408,595,388,283,529,459,236,750,128,298,578,508,169","(0.25, 0.25, 0.25, 0.25)"
DEM,30,Simple-NSGA,64.44773175542406,0.9007995081481481,2986.6902535131767,0.7882516743290083,0.6859609501897376,"703,610,697,132,256,42,589,108,410,490,114,211,275,530,564,253,66,721,29,398,600,204,716,121,53,523,389,317,766,364","(0.25, 0.25, 0.25, 0.25)"
DEM,30,Seeded-NSGA,61.406969099276786,0.8523615774074075,3442.782318695624,0.940688858759883,0.7200234837828566,"106,760,1,780,27,648,698,116,81,743,168,42,728,222,737,529,7,508,390,93,283,783,47,573,580,260,422,408,718,128","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,30,Random,35.650887573964496,0.490980235702681,2552.510255208853,0.542040348714271,0.4350491403052007,"424,134,401,18,443,498,776,577,542,756,613,687,494,159,567,770,96,192,150,431,478,519,349,183,464,314,600,486,37,172","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,30,Greedy,46.071663379355684,0.635165358822087,3128.118611640872,0.9463877634545668,0.6180036660699822,"49,715,116,554,81,648,95,696,283,73,739,222,260,573,42,750,562,137,578,169,529,396,30,718,236,390,38,410,701,248","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,30,Simple-NSGA,44.19789612097305,0.5668574986226509,3054.3153664082965,0.7341765705373984,0.5406546887511045,"5,56,186,697,458,194,46,738,756,415,254,743,236,97,81,549,121,531,718,129,750,297,572,423,705,382,286,144,591,390","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,30,Seeded-NSGA,46.071663379355684,0.635165358822087,3128.118611640872,0.9463877634545668,0.6180036660699822,"49,715,116,554,81,648,95,696,283,73,739,222,260,573,42,750,562,137,578,169,529,396,30,718,236,390,38,410,701,248","(0.25, 0.25, 0.25, 0.25)"
FLAT,40,Random,61.111111111111114,1.0,2586.893675956535,1.0,0.7416254625478809,"196,404,575,187,601,192,292,50,478,78,692,402,406,630,584,551,69,175,444,76,433,522,401,290,119,91,500,751,174,25,764,454,17,97,189,276,270,639,14,495","(0.25, 0.25, 0.25, 0.25)"
FLAT,40,Greedy,88.41222879684419,1.0,3087.83715035583,1.0,0.8270833194653073,"68,783,756,27,0,750,646,50,114,641,735,165,34,744,478,305,254,501,159,595,635,175,656,45,369,412,209,516,298,375,522,483,260,418,364,767,407,246,561,759","(0.25, 0.25, 0.25, 0.25)"
FLAT,40,Simple-NSGA,75.19723865877712,1.0,3348.0169558137786,1.0,0.8029818021588196,"651,57,12,761,774,755,27,217,0,142,686,119,3,15,509,756,780,6,232,223,240,345,616,530,138,379,364,766,475,743,555,516,49,152,255,635,721,333,731,468","(0.25, 0.25, 0.25, 0.25)"
FLAT,40,Seeded-NSGA,78.56673241288627,1.0,3376.1129714995755,1.0,0.812370503124725,"68,783,756,27,0,778,644,24,113,670,739,187,33,744,47,509,530,254,761,276,167,664,393,175,398,417,630,181,504,523,623,326,317,462,8,613,79,16,727,700","(0.25, 0.25, 0.25, 0.25)"
DEM,40,Random,57.95529257067719,0.7580163475000001,2798.415218101212,0.6064859196071751,0.5821262575073199,"105,529,214,432,342,572,469,16,30,379,169,98,693,350,651,675,619,73,271,424,776,712,405,446,571,460,485,634,64,583,566,25,435,708,639,13,84,779,219,152","(0.25, 0.25, 0.25, 0.25)"
DEM,40,Greedy,78.87902695595004,0.9687957291666667,2928.7430497647924,0.9436567143405512,0.7758992883346663,"76,703,725,144,81,715,562,42,554,93,137,737,396,260,573,30,248,408,595,388,283,529,459,236,750,128,298,578,508,169,718,317,496,422,45,711,222,648,106,38","(0.25, 0.25, 0.25, 0.25)"
DEM,40,Simple-NSGA,74.4904667981591,0.8565487180555555,3002.606525768398,0.7665289432837584,0.6951210569369403,"739,381,235,312,594,399,59,749,780,169,590,503,698,680,35,723,579,390,526,281,126,719,186,132,16,508,734,420,251,758,108,544,658,28,548,323,432,258,89,302","(0.25, 0.25, 0.25, 0.25)"
DEM,40,Seeded-NSGA,82.62656147271532,0.8913361155555556,2991.443603609341,0.9268805056260664,0.7638626394775636,"106,760,1,780,81,648,144,715,42,698,508,222,93,554,260,573,283,388,737,408,294,396,459,128,274,596,720,47,578,530,7,168,181,589,298,448,496,728,317,610","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,40,Random,42.58711374095989,0.4990033835247808,2838.4326390835267,0.5772828058549083,0.4730262020323447,"139,294,238,515,194,43,259,247,156,196,262,702,135,365,594,371,561,335,69,480,82,38,519,314,781,605,768,203,764,120,557,444,134,288,111,637,547,677,296,607","(0.25, 0.25, 0.25, 0.25)"
